No,Names,City or States,Location
1,The French Laundry,California,United States
2,Benu,California,United States
3,Quince,California,United States
4,ADDISON,California,United States
5,Alinea,Chicago,United States
6,Eleven Madison Park,New York,United States
7,Le Bernardin,New York,United States
8,Bar Masa,New York,United States
9,The Restaurant at Meadowood,Helena,United States
10,Atelier Crenn ,San Francisco,United States
11,SingleThread Farms,California,United States
12,The Inn at Little Washington,Washington,United States
13,Per Se,New York,United States
14,Le Cinq,Paris,Franch
15,Alléno Paris au Pavillon Ledoyen,Paris,Franch
16,Le Pré Catelan,Paris,Franch
17,Pierre Gagnaire,Paris,Franch
18,Le Meurice Alain Ducasse,Paris,Franch
19,Maison Lameloise,Chagny,Franch
20,AM par Alexandre Mazzia,Marseille,Franch
21,Restaurant Marcon,Saint-Bonnet-le-Froid,Franch
22,Assiette Champenoise,Tinqueux,Franch
23,Le Clos Des Sens,Annecy,Franch
24,Guy Savoy,Paris,Franch
25,Arpège,Paris,Franch
26,Restaurant Kei,Paris,Franch
27,Flocons de Sel,Megève,Franch
28,Le 1947 à Cheval Blanc,Courchevel,Franch
29,Auberge du Vieux Puits,Saint-Victor,Franch
30,Georges Blanc,Vonnas,Franch
31,Makimura,Tokyo,Japan
32,Hajime,Osaka,Japan
33,L’Osier,Tokyo,Japan
34,Azabu Kadowaki,Tokyo,Japan
35,Kikunoi Honten,Kyoto,Japan
36,Japanese Food Ryugin (日本料理 龍吟),Tokyo,Japan
37,Den,Tokyo,Japan
38,Kodama,Tokyo,Japan
39,Azabu Yukimura,Tokyo,Japan
40,L’Effervescence,Tokyo,Japan
41,Nihonryōri Kanda,Tokyo,Japan
42,Gion Sasaki,Kyoto,Japan
43,Myoujyaku,Tokyo,Japan
44,Kagurazaka Ishikawa,Tokyo,Japan
45,Gastronomy “Joël Robuchon”,Tokyo,Japan
46,Tapas Molecular Bar,Tokyo,Japan
47,Sushi Yoshitake,Tokyo,Japan
48,Edition Koji Shimomura,Tokyo,Japan
49,Bistro Ma Cuisine,Tokyo,Japan
50,Sazenka,Tokyo,Japan
51,La Pergola,Rome,Italy
52,PER ME - Giulio Terrinoni,Rome,Italy
53,Il Convivio Troiani,Rome,Italy
54,Le Calandrе,Padua,Italy
55,Osteria Francescana,Modena,Italy
56,Uliassi,Ancona,Italy
57,Enoteca Pinchiorri,Florence,Italy
58,Pipero,Rome,Italy
59,Da Vittorio,Bergamo,Italy
60,Ora d'Aria,Florence,Italy
61,Magorabin,Turin,Italy
62,Ristorante Dal Pescatore Santini,Mantua,Italy
63,Li Galli,Salerno,Italy
64,Vintage 1997,Turin,Italy
65,Atto di Vito Mollica,Florence,Italy
66,Restaurant Quique Dacosta,Dénia,Spain
67,Lasarte,Barcelona,Spain
68,Cocina Hermanos Torres,Barcelona,Spain
69,Arzak,Donostia-San Sebastian,Spain
70,Restaurante Akelare,Donostia-San Sebastian,Spain
71,Restaurante Aponiente,El Puerto de Santa María,Spain
72,El Celler de Can Roca,Girona,Spain
73,Martin Berasategui,Lasarte-Oria,Spain
74,Azurmendi jatetxea,Larrabetzu,Spain
75,Àbac,Barcelona,Spain
76,DiverXO,Madrid,Spain
77,L'Enclume,Grange-over-Sands,United Kingdom
78,Club Gascon,London,United Kingdom
79,Hélène Darroze at The Connaugh,London,United Kingdom
80,Elystan Street,London,United Kingdom
81,Restaurant Gordon Ramsay,London,United Kingdom
82,John's House,Loughborough,United Kingdom
83,The Fat Duck,Maidenhead,United Kingdom
84,Core by Clare Smyth,London,United Kingdom
85,Pied a Terre,London,United Kingdom
86,Angler,London,United Kingdom
87,The Five Fields,London,United Kingdom
88,La Dame de Pic London,London,United Kingdom
89,Simpsons Restaurant,Birmingham,United Kingdom
90,Alain Ducasse at The Dorchester,London,United Kingdom
91,Galvin La Chapelle,London,United Kingdom
92,Pétrus by Gordon Ramsay,London,United Kingdom
93,salt,Stratford-upon-Avon,United Kingdom
94,The Waterside Inn,Maidenhead,United Kingdom
95,Portland,London,United Kingdom
96,Alchemilla,Nottingham,United Kingdom
97,Bandol sur mer,Berlin ,Germany
98,Restaurant Facil,Berlin ,Germany
99,The Table,Hamburg,Germany
100,Restaurant Schoenemann,Frankfurt,Germany
101,Atelier im Bayerischen Hof,Munich,Germany
102,Restaurant La Société Köln,Cologne,Germany
103,schanz. restaurant.,Piesport,Germany
104,Restaurant GUSTAV,Frankfurt,Germany
105,Rutz,Berlin,Germany
106,Carmelo Greco,Frankfurt,Germany
107,Villa Merton,Frankfurt,Germany
108,Restaurant Michaelis,Leipzig,Germany
109,SEVEN SWANS,Frankfurt,Germany
110,Essigbrätlein,Nuremberg,Germany
111,Horváth,Berlin,Germany
112,Relais & Châteaux Restaurant Lafl,Frankfurt,Germany
113,Restaurant Alte Kanzlei Inh. Luigi,Frankfurt,Germany
114,Restaurant JAN - Jan Hartwig,Munich,Germany
115,L'Arôme - Fine Cuisine Frankfurt,Frankfurt,Germany
116,Vendôme,Bergisch Gladbach,Germany
117,Cheval Blanc by Peter Knogl,Basel,Switzerland
118,Mille Sens,Bern,Switzerland
119,Berceau des Sens,Lausanne,Switzerland
120,Heugümper,Zürich,Switzerland
121,Chat-Botté,Geneva,Switzerland
122,Restaurant de l'Hôtel de Ville de,Crissier,Switzerland
123,La Micheline,Geneva,Switzerland
124,L'Atelier Robuchon,Geneva,Switzerland
125,The Restaurant,Zürich,Switzerland
126,The Japanese Restaurant,Andermatt,Switzerland
127,Silex - Restaurant mit Wein-Fokus,Zürich,Switzerland
128,Shin,Zürich,Switzerland
129,Widder Restaurant,Zürich,Switzerland
130,Neue Taverne,Zürich,Switzerland
131,KLE,Zürich,Switzerland
132,Restaurant Magdalena,Rickenbach,Switzerland
133,Focus,Vitznau,Switzerland
134,Maison Décotterd,Glion,Switzerland
135,La Rôtisserie,Zürich,Switzerland
136,Einstein Gourmet,St Gallen,Switzerland
137,De Zwarte Duif,Uccle ,Belgium
138,Le Chalet de la Forêt,Uccle ,Belgium
139,La Paix,Anderlecht,Belgium
140,La Truffe Noire,Brussels,Belgium
141,Hof van Cleve,Kruisem,Belgium
142,La Villa in the Sky,Brussels,Belgium
143,Zilte,Antwerp,Belgium
144,L'Ecailler du Palais Royal,Brussels,Belgium
145,Emily,Brussels,Belgium
146,La Villa Lorraine,Brussels,Belgium
147,Comme Chez Soi,Brussels,Belgium
148,Chou,Ixelles,Belgium
149,Willem Hiele,Oudenburg,Belgium
150,Hertog Jan,Antwerp,Belgium
151,L’air du temps,Eghezee,Belgium
152,La Table de Mus,Brussels,Belgium
153,La Canne en Ville,Brussels,Belgium
154,Le Passage,Uccle,Belgium
155,Brighton Restaurant,Brussels,Belgium
156,Savage,Brussels,Belgium
157,Parkheuvel,Rotterdam,Netherlands
158,Restaurant De Kromme Dissel,Heelsum,Netherlands
159,De Librije,Zwolle,Netherlands
160,Fred,Rotterdam,Netherlands
161,Inter Scaldes,Kruiningen,Netherlands
162,Bridges,Amsterdam,Netherlands
163,Ciel Bleu,Amsterdam,Netherlands
164,Vinkeles,Amsterdam,Netherlands
165,De Kromme Watergang,Hoofdplaat,Netherlands
166,Sinne,Amsterdam,Netherlands
167,De Bokkedoorns,Overveen,Netherlands
168,De Treeswijkhoeve,Waalre,Netherlands
169,BREDA,Amsterdam,Netherlands
170,Restaurant The White Room by J,Amsterdam,Netherlands
171,Restaurant Apicius,Castricum,Netherlands
172,Tante Koosje,Loenen aan de Vecht,Netherlands
173,Aan de Poel,Amstelveen,Netherlands
174,Restaurant Flore,Amsterdam,Netherlands
175,Alan Dining,Amsterdam,Netherlands
176,Yamazato,Amsterdam,Netherlands
177,formel B,Frederiksberg ,Denmark
178,Aoc,Copenhagen,Denmark
179,Marv & Ben,Copenhagen,Denmark
180,Kiin Kiin,Copenhagen,Denmark
181,King Hans Cellar,Copenhagen,Denmark
182,Kokkeriet,København,Denmark
183,Marchal,Copenhagen,Denmark
184,No. 2,Copenhagen,Denmark
185,Høst,Copenhagen,Denmark
186,Geranium,Copenhagen,Denmark
187,Kadeau,Copenhagen,Denmark
188,Vækst,Copenhagen,Denmark
189,Gastromé,Risskov,Denmark
190,Alchemist,København K,Denmark
191,Restaurant Domestic,Aarhus C,Denmark
192,Michelin Restauranter,Aarhus,Denmark
193,Restaurant Aro,Odense Municipality,Denmark
194,The Samuel,Hellerup,Denmark
195,Ghrelin,Aarhus Municipality,Denmark
196,Restaurant MARK - Bistro & Bar,Copenhagen,Denmark
197,SK Mat & Människor,Gothenburg ,Sweden
198,Rolfs Kök,Stockholm,Sweden
199,Etoile,Stockholm,Sweden
200,Frantzén,Stockholm,Sweden
201,Matbaren Mathias Dahlgren,Stockholm,Sweden
202,Adam/Albin,Stockholm,Sweden
203,Restaurant Ekstedt,Stockholm,Sweden
204,Bloom in the Park,Malmö,Sweden
205,Vollmers,Malmö,Sweden
206,Nana,Stockholm,Sweden
207,Smak,Stockholm,Sweden
208,Sushi Sho,Stockholm,Sweden
209,Restaurang Farang,Stockholm,Sweden
210,Petri,Stockholm,Sweden
211,Svartengrens,Stockholm,Sweden
212,Koizen Omakase Room,Gothenburg,Sweden
213,Nour,Stockholm,Sweden
214,Voisine,Stockholm,Sweden
215,Den Gyldene Freden,Stockholm,Sweden
216,Restaurant Oxenstiernan,Stockholm,Sweden
217,Maaemo,Oslo,Norway
218,Statholdergaarden,Oslo,Norway
219,MOON,Bergen,Norway
220,Rest,Oslo,Norway
221,Spisestedet Feinschmecker,Oslo,Norway
222,Savage,Oslo,Norway
223,Hos Thea,Oslo,Norway
224,Re-naa,Stavanger,Norway
225,Restaurant Kontrast,Oslo,Norway
226,Geita Restaurant,Oslo,Norway
227,Vaaghals,Oslo,Norway
228,Sabi Omakase Oslo,Oslo,Norway
229,Dinner Restaurant,Oslo,Norway
230,Restaurant Eik Annen Etage,Oslo,Norway
231,Festningen,Oslo,Norway
232,Xinrongji,8,China
233,Michelin restaurant(米其林餐厅),Chengdu,China
234,Xinrongji Nanjing West Road Bra,Jing'An,China
235,T'ang Court,Hong Kong,China
236,Le Palais,Taiwan,China
237,Jade Dragon,Macau,China
238,Yongfoo Elite,Shanghai,China
239,Fu Ho Restaurant,Hong Kong,China
240,Da Vittorio Shanghai,Shanghai,China
241,Lai Heen,Macau,China
242,Chef Tam's Seasons,Macau,China
243,The 8 Restaurant,Macau,China
244,The Demon Celebrity,Hong Kong,China
245,Laimei Luzi,Luohu,China
246,Panxi Restaurant,Guangzhou,China
247,Joël Robuchon,Hong Kong,China
248,La Yeon,"Jung-gu, Seoul",South Korea
249,Kojacha,"Gangnam-gu, Seoul",South Korea
250,Moulin,"Jongno-gu, Seoul, South Korea",South Korea
251,KwonSookSoo,"Gangnam-gu, Seoul",South Korea
252,Jungsik Seoul,"Gangnam-gu, Seoul",South Korea
253,Pierre Gagnaire à Séoul,"Jung-gu, Seoul",South Korea
254,L'Impression,"Gangnam-gu, Seoul",South Korea
255,Table for Four,"Seocho-gu, Seoul",South Korea
256,Joo Ok Restaurant,"Jung-gu, Seoul",South Korea
257,Myomi,"Jongno-gu, Seoul",South Korea
258,Alla Prima,"Gangnam-gu, Seoul",South Korea
259,Yun Seoul,"Gangnam-gu, Seoul",South Korea
260,MOSU Seoul,"Yongsan-gu, Seoul",South Korea
261,Gaon,"Gangnam-gu, Seoul",South Korea
262,béni Singapore,Orchard Road,Singapore
263,Chef Kang's Private Kitchen,Mackenzie Rd,Singapore
264,Les Amis,Scotts Rd,Singapore
265,Sommer,Marina Blvd,Singapore
266,Lerouy,Mohamed Sultan Rd,Singapore
267,Odette,Andrew's Rd,Singapore
268,La Dame de Pic,Beach Rd,Singapore
269,Rhubarb,Duxton Hill,Singapore
270,Restaurant JAG,Robertson Quay,Singapore
271,Restaurant Reve,Kreta Ayer Rd,Singapore
272,Michelin Guide Street Food Festi,Garden Ave,Singapore
273,PUTIEN Kitchener Road,Kitchener Rd,Singapore
274,Alma by Juan Amador,Scotts Rd,Singapore
275,Whitegrass Restaurant,Victoria St,Singapore
276,Willow,Hongkong St,Singapore
277,JAAN By Kirk Westaway,Stamford Rd,Singapore
278,Saint Pierre,Fullerton Road,Singapore
279,Shoukouwa Restaurant,Fullerton Rd,Singapore
280,Nouri,Amoy St,Singapore
281,Zén,Bukit Pasoh Rd,Singapore